Email,Hours,Date - mm/dd/yy,Designation Text,Privacy,Category
1093078@gwkinvest.com,8,08/04/2024,Auto - For specific reason,none,Running activity
1086321@gwkinvest.com,6,08/04/2024,Auto - For water cooler,name,Running activity
1081968@gwkinvest.com,5,08/04/2024,Auto - Use this money for children,email,Running activity
1081967@gwkinvest.com,8,08/04/2024,Auto - Use this money for food,none,Cooking activity
1074169@gwkinvest.com,6,08/04/2024,Auto - Use this moeny for cloths,name,Cooking activity
1074168@gwkinvest.com,5,08/04/2024,Auto - For development,email,Cooking activity
1072524@gwkinvest.com,8,08/04/2024,Auto - For progress,none,Giving activity
1071735@gwkinvest.com,6,08/04/2024,Auto - For different reasons,name,Giving activity
1058273@gwkinvest.com,5,08/04/2024,Auto - For nature,email,Giving activity
1049860@gwkinvest.com,8,08/04/2024,Auto - For devlopment,none,Recycling
